word,count
wa,1428
ni,973
season,855
wo,779
2,775
part,694
isekai,606
movie,500
ga,457
x,447
sekai,423
2nd,417
de,365
koi,364
suru,327
-,297
kimetsu,287
spy,279
family,278
na,276
shoujo,264
kaguya-sama,248
shingeki,248
dasu,247
honki,240
tensei:,240
ittara,239
mushoku,239
romantic,236
tensei,235
kokurasetai:,226
e,219
cyberpunk:,216
edgerunners,216
dragon,215
doll,214
sono,211
man,209
final,209
bisque,203
kimi,202
game,202
one,195
yuusha,195
kanojo,195
yaiba:,193
rock!,192
bocchi,192
blue,186
86,182
boku,180
ultra,177
mob,167
chainsaw,166
"wa,",164
yuukaku-hen,163
nai,162
hunter,162
desu.,161
komi-san,160
comyushou,160
ousama,156
ranking,155
bouken,154
desu,151
kimyou,150
jojo,150
otome,150
kyojin:,149
kaisen,146
animation,146
senshi,146
saikyou,146
jujutsu,146
violet,145
evergarden,145
hero,145
tokyo,144
piece,134
boy,131
love,131
kidou,130
maid,129
black,128
death,124
school,121
academia,117
3,115
dake,114
ja,113
ore,112
ken,111
kara,110
movie:,108
mo,108
ball,106
made,106
sword,106
chi,106
kyojin,105
mahou,104
koumei,104
paripi,104
0,103
art,102
kono,102
sonny,101
shijou,100
note,100
kyoushitsu,100
stone,99
period,98
girl,97
renai,97
(tv),96
kawaii,94
psycho,94
kobayashi-san,93
hime,92
seishun,92
100,92
yaiba,92
shugi,92
fullmetal,91
shitara,90
revengers,89
uta,88
shin,87
3:,86
maou,84
steins;gate,84
alchemist:,84
tsuki,83
ao,82
dance,82
brotherhood,82
yofukashi,81
render,80
genesis,80
evangelion,80
neon,80
summertime,80
naruto,79
tomodachi,79
ii,79
world,79
lycoris,78
life,78
recoil,78
ryuu,78
mieruko-chan,77
cowboy,76
hanayome,75
ka?,74
bokutachi,74
fruits,74
senpai,74
slow,73
monogatari,72
sennen,72
high,72
datta,72
iii,71
vanitas,71
yoru,71
sobakasu,71
karte,71
mugen,70
6:,70
slime,70
ocean,70
youkoso,69
yume,69
zunousen,69
kibishii,69
destiny,69
tensai-tachi,69
bubble,68
odd,67
horimiya,67
hana,67
buta,67
takt,67
taxi,67
op.,67
&,67
5-toubun,66
code,66
gundam,66
(2011),66
kessen-hen,65
bleach:,64
bebop,64
shokugyou,64
kizoku,64
"ansatsusha,",64
saikou,64
song,64
abyss,64
time,64
hangyaku,63
ressha-hen,63
gundam:,63
ashi,63
shikimori-san,63
majo,62
seikatsu,62
monster,62
nariagari,61
okarishimasu,61
geass:,61
live!,61
party,61
"kanojo,",61
tate,61
kaze,61
saga,61
koe,61
3rd,61
hoshi,61
killer,60
shuumatsu,60
super,60
uchi,60
yarou,60
aria,59
yakusoku,59
lelouch,59
naku,59
koro,59
arifureta,59
kenja,59
bishoujo,59
clover,58
online:,58
katachi,58
minai,58
road,58
reijou,58
harem,58
kage,58
jitsuryoku,58
naru,57
jitsuryokusha,57
higurashi,57
naritakute!,57
sailor-fuku,56
ojisan,56
akebi-chan,56
hajimeru,55
"yuusha,",55
yamemasu,55
evangelion:,55
hitorigurashi,54
koukou,53
re:zero,53
great,53
end,53
overlord,53
uso,53
densetsu,53
shimashita,53
kotarou,53
dailiren,52
koto,52
shiguang,52
vampire,52
sasaki,52
bunny,51
hakarenai,51
aharen-san,51
karakai,51
miyano,51
kuro,51
gakkou,51
progressive,51
meikyuu,51
jouzu,51
star,51
kill,51
akuyaku,51
takagi-san,50
toradora!,50
anata,49
nakama,49
virgin,49
iv,49
seifuku,49
online,48
"node,",48
saihate,48
machi,48
henkyou,48
oidasareta,48
shokei,48
sensou,48
gakuen,48
paladin,48
ka,47
pokemon,47
vivy:,47
story,47
days,47
fluorite,47
basket:,47
eye's,47
nano,47
wa.,47
vinland,46
sedai,46
punch,46
watashi,45
girls,45
nagatoro-san,45
ato,45
idaten-tachi,45
shukufuku,45
z,45
yuru,45
"ijiranaide,",45
heion,45
musume,45
hi,45
ai,45
madoka★magica,45
fumetsu,45
fantasy,44
subarashii,44
genjitsu,44
zero,44
wo!,44
senki,44
angel,44
dr.,44
shou,44
dungeon,44
heroine,43
golden,43
shigatsu,43
gaikotsu,43
naki,43
tadaima,42
d,42
fate/stay,42
nani,42
yori,42
visions,42
ginga,42
wars:,42
ansatsu,41
specials,41
douchuu,41
abyss:,41
retsujitsu,41
"kishi-sama,",41
michibiku,41
ougonkyou,41
odekakechuu,41
(ona),40
lock,40
fuufu,40
samurai,40
beats!,39
wang,39
tensai,39
inai,39
princess,39
club,39
koibito,39
comedy,38
ouji,37
miman.,37
tame,37
"ijou,",37
nana,37
ano,37
danseur,37
night,37
suna,37
5th,37
nichijou,37
bleach,37
remake,37
shounen,36
aquatope,36
lupin,36
ko,36
kami,36
shiroi,36
akiba,36
deshita,36
gurren,36
meido,36
gintama,36
last,36
sei,35
otogibanashi,35
yourself!!,35
jutsushi,35
hametsu,35
kaifuku,35
hataraku,35
camp△,35
yarinaoshi,35
tengen,35
toppa,35
"ga,",35
taishou,35
youkoso!,35
oujo,34
non,34
oukoku,34
suisei,34
kusuo,34
shite,34
lagann,34
eiyuu,34
saiki,34
saikenki,34
gakuin,33
shiro,33
kiss,33
nhk,33
serial,33
bisco,33
reimei,33
juniku,33
sabikui,33
next,33
motomeru,33
dai,33
fairy,33
deai,33
shiranai,33
darou,33
machigatteiru,33
demo,33
experiments,33
basket,33
lain,33
shison-tachi,32
ougon,32
futekigousha:,32
superstar!!,32
"shiso,",32
joshikousei,32
kouhai,32
kayou,32
uzai,32
suizou,32
iii:,32
namae,32
shika,32
hanashi,32
tabetai,32
kumo,32
kishi,31
shokudou,31
shisho,31
neverland,31
ghost,31
goblin,31
ova,31
shi,31
erandeiraremasen,31
gekokujou:,31
honzuki,31
shudan,31
ψ-nan,30
haikyuu!!,30
lion,30
shokugeki,30
summer,30
naruto:,30
5,30
darling,30
initial,30
franxx,30
kakegurui,30
tonikaku,30
3-gatsu,30
danshi,29
shippuuden,29
seirei,29
cider,29
2:,29
fate/zero,29
kotoba,29
wu,29
yahari,29
tenkuu,29
wakiagaru,29
la,29
machigatteiru.,29
kuma,28
banana,28
shiteshimatta...,28
nite,28
mada,28
flag,28
platinum,28
shiranai.,28
kaizoku,28
tenki,28
youjo,28
fish,28
stage,28
first,28
mita,28
shinchou,28
fate/grand,28
saisei,27
kingdom,27
sailor,27
moon,27
qi,27
shitai,27
idol,27
