Sno,Title,Date,User,text
1,Kage no Jitsuryokusha ni Naritakute!,2023-02-08,Ishinashi40,"Don't drop this anime after the first episodes > Watched the first episode. > Cringe edgy definition. > Watched other episodes. > Not convinced, drop. > People say that is"
2,Kage no Jitsuryokusha ni Naritakute!,2023-02-08,The_Alpha_King,I will say I can see how a lot of people can not enjoy this anime for how great it is. Purely because the story seems somewhat everywhere and never
3,Kage no Jitsuryokusha ni Naritakute!,2023-02-08,Stanleyliam1990,This anime is so so good. People who have rated this bad watched 3 episodes and shouldn't review at all. The anime gets better with each episode and the story
4,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,2023-02-08,balder999,"There isn't much to say about this anime, except that the remake is excellent, and allows newcomers and veterans of the franchise alike to enjoy this philosophical space opera. This"
5,Meikyuu Black Company,2023-02-08,John_Bollocks,favourite anime. based main character and actually interesting take on the isekai genre. it's basically someone gets teleported to another world but the demon lord is the CEO of a
6,Bocchi the Rock!,2023-02-08,Emoters,"Highly recommended for noleps who want to change. I think the comedy, which is thick with silliness, makes the storyline interesting. Plus the music is nice to hear. If you"
7,Zetsuen no Tempest,2023-02-08,Shikii_,Wonder why you see no negative reviews? Because this anime is a Masterpiece. 10/10 What would you do if someone you love deeply suddenly dies and there's no answers to
8,Dragon Ball Z,2023-02-08,insefoba,"an epic story about a legendary hero called satan, and his dog with some very interesting side characters. i recommend watching the freeza and the kid boo saga in dragon"
9,Fullmetal Alchemist: Brotherhood,2023-02-08,Guthem,"A perfect manga. A perfect anime. Arakawa-sensei gave us the manga of manga. The real top1. And that's not the average fan, speaking. I read the whole manga (followed it"
10,Kidou Senshi Gundam SEED,2023-02-08,Guthem,"\"It's a reconstruction of 0079. And I particularly like it better. Seed was a recommendation if a great friend \"\"if you are a penciller"
11,Akira,2023-02-08,Guthem,"Yes. Akira i a perfect movie. The whole plot is tense from the start. In every speech, in every situation, you feel the tension. The script is very well constructed."
12,One Punch Man,2023-02-08,AnimeOtaku51,"One Punch Man is a comedic and action-packed anime series, the animation is top-notch, with fluid and dynamic fight scenes that are both visually stunning and comedic. The character designs"
13,Kidou Senshi Gundam: Suisei no Majo,2023-02-08,Guthem,"Just. Go. Watch! as you may have seen in other reviews, or in spoilers on social media, the anime has a long school arc. For me it's the old idea"
14,Jujutsu Kaisen,2023-02-08,AnimeOtaku51,Jujutsu Kaisen is a must-watch anime series for fans of the supernatural and action genres. The plot revolves around a group of jujutsu sorcerers who use their powers to exorcise
15,Kimetsu no Yaiba,2023-02-08,AnimeOtaku51,"\"\"\"Demon Slayer: Kimetsu no Yaiba\"\" is a highly captivating anime that boasts stunning animation"
16,Blue Lock,2023-02-08,Rickey_Rouse,"\"\"\"Ore wa Striker da...\"\" - Sun Tzu Blue Lock is a unique take on the sports anime genre that delves into the dangerous and toxic human desire for superiority. The\""
17,Urusei Yatsura,2023-02-08,Astral_baixo,"I'm not much of an anime or manga reviewer, but I think I'll at least review my favorite anime. Urusei Yatsura, by the writer Rumiko Takahashi, the same author of"
18,Kimetsu no Yaiba: Mugen Ressha-hen,2023-02-07,iamsmith007,"Demon Slayer: Mugen Train, also known as Kimetsu no Yaiba: Mugen Ressha-hen, is an excellent addition to the Demon Slayer series. The narrative of Tanjiro and the other Demon Slayers"
19,Kimetsu no Yaiba: Yuukaku-hen,2023-02-07,iamsmith007,"The excellent and eagerly awaited anime movie Kimetsu no Yaiba: Yuukaku-hen, better known as Demon Slayer: Mugen Train, did not dissapoint. Following the exploits of Tanjiro and the demon slayer"
20,Chainsaw Man,2023-02-07,iamsmith007,"Not for the faint of heart, Chainsaw Man is an action-packed and exhilarating animation. The narrative chronicles the adventures of a young guy named Denji, who joins the Public Safety"
21,Yuukoku no Moriarty,2023-02-07,iamsmith007,"\"\"\"After watching Yuukoku no Moriarty"
22,Kimetsu no Yaiba,2023-02-07,iamsmith007,"\"\"\"Kimetsu no Yaiba is an intense"
