title,count
Kengan Ashura Part 2,1
Seihou Bukyou Outlaw Star,1
"Komi-san wa, Comyushou desu. 2nd Season",2
Yuuki Yuuna wa Yuusha de Aru,1
One Piece Movie 01,1
K,1
Kaginado,1
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,10
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,2
The Sky Crawlers,2
Bakuman.,1
Suzumiya Haruhi no Yuuutsu (2009),2
Fullmetal Alchemist,1
Nichijou,4
Silent Möbius,1
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,4
Pokemon Diamond & Pearl,1
Shikizakura,1
Kubo-san wa Mob wo Yurusanai,4
Hataraku Saibou Black,2
Mahouka Koukou no Rettousei,1
Parasite Dolls,1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9
K-On!!: Keikaku!,1
Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,1
Kidou Senshi Gundam ZZ,2
Strawberry Panic,2
Dakaretai Otoko 1-i ni Odosarete Imasu.,1
Steins;Gate 0,3
Afro Samurai,1
Girls Bravo: First Season,1
Pokemon: Mewtwo! Ware wa Koko ni Ari,1
Amagami SS,3
Samurai Champloo,6
Byston Well Monogatari: Garzey no Tsubasa,1
School Rumble,1
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,1
Minami-ke Okaeri,1
Battle Spirits: Sword Eyes,1
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,1
Hanasaku Iroha,1
Wotaku ni Koi wa Muzukashii OVA,1
Abenobashi Mahou☆Shoutengai,1
Jujutsu Kaisen 0 Movie,42
Akuyaku Reijou nano de Last Boss wo Kattemimashita,6
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,1
Tsuki to Laika to Nosferatu,5
Dr. Stone: Stone Wars,3
Bokura no,1
Shingeki no Kyojin: The Final Season,9
Rance 01: Hikari wo Motomete The Animation,1
Tate no Yuusha no Nariagari Season 2,1
JoJo no Kimyou na Bouken Part 6: Stone Ocean,7
Hyperventilation,1
Succubus Stayed Life The Animation,1
Kono Subarashii Sekai ni Shukufuku wo! 2,2
Midara na Ao-chan wa Benkyou ga Dekinai,1
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,1
Koroshi Ai,8
Kizumonogatari I: Tekketsu-hen,2
Kimi no Na wa.,14
Teekyuu 4,1
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,1
Dance in the Vampire Bund,1
One Outs,2
Jing: Shuang Cheng 2nd Season,1
Hana to Alice: Satsujin Jiken,2
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,1
Mob Psycho 100,13
Do It Yourself!!,7
The Legend of Heroes: Sen no Kiseki - Northern War,1
Tonari no Totoro,1
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2
Kyuuketsuki Sugu Shinu,6
Koi to Uso,1
Curry Meshi in Miracle,1
Mob Psycho 100 II,5
Tensei shitara Slime Datta Ken,6
AD Police,1
Ane wa Yanmama Junyuu-chuu,2
Hyouken no Majutsushi ga Sekai wo Suberu,1
Little Witch Academia (TV),2
Imawa no Kuni no Alice,1
Soul Eater,2
Golden Time,6
Ookami to Koushinryou,3
Shokugeki no Souma,4
Working!!,2
Build Divide: Code Black,1
Haibane Renmei,4
Tropical-Rouge! Precure,2
Berserk,1
InuYasha: Kanketsu-hen,1
Tasogare Otome x Amnesia,2
Zhu Xian,1
Boogiepop wa Warawanai,2
Chihayafuru 2,1
Code Geass: Hangyaku no Lelouch R2 Omake Flash,1
Tegamibachi,1
Space☆Dandy,3
Ganbare Douki-chan,1
Kidou Senshi Gundam Thunderbolt,1
Mirai Nikki: Redial,1
"Sentouin, Hakenshimasu!",1
"Komi-san wa, Comyushou desu.",41
Baki,2
Onboro Film,1
C: The Money of Soul and Possibility Control,2
Lovely★Complex,6
Kekkai Sensen,4
Tenshi na Konamaiki,1
Seirei no Moribito,2
Fruits Basket: The Final,10
Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,1
Ano Natsu de Matteru,2
High☆Speed! Movie: Free! Starting Days,1
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,2
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",1
Mars Red,1
Bishoujo Senshi Sailor Moon Crystal,1
Boku no Chikyuu wo Mamotte,2
Tomo-chan wa Onnanoko!,6
Ikebukuro West Gate Park,2
Futari wa Precure: Max Heart,1
El Hazard: The Magnificent World,1
Shingeki no Kyojin OVA,1
Tian Shu Qi Tan,1
Stand By Me Doraemon,1
Dark Cat,1
Aoi Hana,2
Motto! Ojamajo Doremi,1
Fumetsu no Anata e,11
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,1
Hataraku Maou-sama!,4
Tonikaku Kawaii,3
Murder Princess,1
Bai Gui Youeryuan,1
Natsume Yuujinchou Go,1
Natsume Yuujinchou Go Specials,1
Triage X,1
Ballroom e Youkoso,4
Shingeki no Kyojin: The Final Season Part 2,44
Kidou Senshi Gundam: Gyakushuu no Char,1
Kanokon,1
Mahou no Tenshi Creamy Mami: Eien no Once More,1
Kami no Tou,7
Early Reins,1
Barom One,1
Given,3
Cross Ange: Tenshi to Ryuu no Rondo,2
Ninja Batman,1
Mahou Shoujo Lyrical Nanoha StrikerS,1
Hello World,3
Higurashi no Naku Koro ni Kaku: Outbreak,2
Shakugan no Shana III (Final),1
Hot Minute: Aggretsuko,1
Boruto: Naruto Next Generations,7
Radiant,2
Kidou Senshi Gundam Unicorn,3
Tokkou,1
Rozen Maiden: Ouvertüre,1
Akatsuki no Yona OVA,1
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,1
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,1
Iyashite Agerun Saiyuuki,1
Arte,1
Lupin III vs. Cat's Eye,1
Tong Ling Fei,3
Koi wa Ameagari no You ni,4
Vanitas no Karte,10
Honobono Log,1
Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,1
Jinrui wa Suitai Shimashita,1
Girls & Panzer,3
Yatogame-chan Kansatsu Nikki,1
Eromanga-sensei,3
Maesetsu!,1
Tunshi Xingkong 2nd Season,1
.hack//Sign,1
Renwu Dashi,1
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",1
The Gakuen Choujo-tai,2
Yu☆Gi☆Oh! Zexal,1
Tengen Toppa Gurren Lagann,9
Xue Yu Xin,1
Evangelion: 3.0+1.0 Thrice Upon a Time,3
Ijirare: Fukushuu Saimin,1
Soukou Kihei Votoms,1
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",1
Gintama.: Porori-hen,2
Summer Wars,2
number24,1
Overlord,8
Kakkou no Iinazuke,1
Hokuto no Ken,1
Love Stage!!,1
Mayo Chiki!,1
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,1
InuYasha,4
Cosplay Complex,1
Chainsaw Man,48
