Title,count
Kengan Ashura Part 2,1
Seihou Bukyou Outlaw Star,2
"Komi-san wa, Comyushou desu. 2nd Season",2
Yuuki Yuuna wa Yuusha de Aru,1
One Piece Movie 01,1
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,1
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,4
A Kite,1
Arknights: Reimei Zensou,10
Nichijou,3
The Sky Crawlers,1
Bakuman.,1
Fullmetal Alchemist,1
Kubo-san wa Mob wo Yurusanai,4
Hataraku Saibou Black,2
Mahouka Koukou no Rettousei,3
Parasite Dolls,1
Imouto sae Ireba Ii.,1
Strike Witches,2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2
Gokiburi Taisou,1
Afro Samurai,1
Girls Bravo: First Season,1
Amagami SS,1
Samurai Champloo,3
Byston Well Monogatari: Garzey no Tsubasa,1
School Rumble,1
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,21
Minami-ke Okaeri,1
Onaho Kyoushitsu: Joshi Zenin Ninshin Keikaku - The Animation,1
Jujutsu Kaisen 0 Movie,8
Akuyaku Reijou nano de Last Boss wo Kattemimashita,18
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,1
Dr. Stone: Stone Wars,1
Kantai Collection: KanColle,1
Shingeki no Kyojin: The Final Season,1
Tate no Yuusha no Nariagari Season 2,1
JoJo no Kimyou na Bouken Part 6: Stone Ocean,5
Muybridge no Ito,1
Watashi to Watashi: Futari no Lotte,1
Koroshi Ai,1
Kizumonogatari I: Tekketsu-hen,1
Kimi no Na wa.,4
Teekyuu 4,1
Jing: Shuang Cheng 2nd Season,1
Detective Conan Movie 25: Halloween no Hanayome,3
C Danchi,1
Mob Psycho 100,7
Do It Yourself!!,29
The Legend of Heroes: Sen no Kiseki - Northern War,1
Shine Post,2
Mob Psycho 100 II,4
Tensei shitara Slime Datta Ken,2
AD Police,2
Ane wa Yanmama Junyuu-chuu,1
Hyouken no Majutsushi ga Sekai wo Suberu,1
Little Witch Academia (TV),2
Imawa no Kuni no Alice,2
Soul Eater,2
Golden Time,1
Ookami to Koushinryou,2
Shokugeki no Souma,2
Haibane Renmei,1
Tasogare Otome x Amnesia,2
Zhu Xian,1
Gochuumon wa Usagi desu ka?,2
"Sentouin, Hakenshimasu!",1
"Komi-san wa, Comyushou desu.",4
Baki,1
Bokusatsu Tenshi Dokuro-chan,1
Lovely★Complex,1
Zen: Grogu to Makkuro Kurosuke,1
Seirei no Moribito,2
Lesson XX,1
"Hachi-nan tte, Sore wa Nai deshou!",1
Tomo-chan wa Onnanoko!,6
Ikebukuro West Gate Park,1
Human Bug Daigaku,6
Call Me Tonight,1
Dark Cat,1
Aoi Hana,1
Motto! Ojamajo Doremi,1
Tonikaku Kawaii,1
Fumetsu no Anata e,3
Shen Yin Wangzuo,2
Triage X,1
Ballroom e Youkoso,2
Shingeki no Kyojin: The Final Season Part 2,1
Vampire in the Garden,2
Kami no Tou,2
Given,2
Hot Minute: Aggretsuko,1
Boruto: Naruto Next Generations,4
Radiant,1
Kidou Senshi Gundam Unicorn,1
Love Live! Superstar!! 2nd Season,1
Muv-Luv Alternative 2nd Season,4
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,1
Shoujo☆Kageki Revue Starlight,1
Lupin III vs. Cat's Eye,1
Tong Ling Fei,2
Koi wa Ameagari no You ni,3
Vanitas no Karte,3
Eromanga-sensei,2
Umezu Kazuo no Noroi,1
Girls & Panzer,1
.hack//Sign,1
Renwu Dashi,1
Tengen Toppa Gurren Lagann,5
Xue Yu Xin,1
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",1
Gintama.: Porori-hen,1
Mad★Bull 34,2
Summer Wars,1
Overlord,7
Kakkou no Iinazuke,3
Chainsaw Man,144
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,4
Dr. Stone: Ryuusui,2
Tenshi Kinryouku,1
Ling Qi 2,1
Fate/Zero 2nd Season,1
Ansatsu Kyoushitsu,2
Rakudai Kishi no Cavalry,3
Kidou Senshi Gundam F91,1
Kill la Kill,4
Vinland Saga,9
High School DxD,1
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,1
Aachi wa Ssipak,1
"Benriya Saitou-san, Isekai ni Iku",2
Teekyuu 2,1
Natsunagu!,1
Chiikawa,1
Kareshi Kanojo no Jijou,1
Teekyuu,1
RahXephon,1
Yaku nara Mug Cup mo: Niban Gama,1
Dragon Ball Super,1
