title,count
Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,1
"Komi-san wa, Comyushou desu. 2nd Season",32
Kaginado,1
Shinryaku! Ika Musume Specials,1
Air Movie,2
Yuuki Yuuna wa Yuusha de Aru,1
Vatican Kiseki Chousakan,2
Fullmetal Alchemist,3
Love Kome: We Love Rice,1
Bakuman.,3
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,2
Nichijou,3
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,2
Suzumiya Haruhi no Yuuutsu (2009),1
Pokemon Diamond & Pearl,1
The Sky Crawlers,1
Tonari no Yamada-kun,1
Bannou Bunka Neko-Musume,1
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,1
Suna no Bara: Yuki no Mokushiroku,1
Little Monica Monogatari,1
Hataraku Saibou Black,2
Dakaretai Otoko 1-i ni Odosarete Imasu.,1
Kidou Senshi Gundam ZZ,3
Strike Witches,1
Netoge no Yome wa Onnanoko ja Nai to Omotta?,1
Afro Samurai,4
Steins;Gate 0,4
Mahouka Koukou no Rettousei,3
Ristorante Paradiso,1
Strawberry Panic,2
Nanatsu no Taizai OVA,1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,7
Imouto sae Ireba Ii.,1
Parasite Dolls,1
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,1
Samurai Champloo,9
Aria the Origination,3
Wotaku ni Koi wa Muzukashii OVA,2
Shadowverse,1
Akai Rousoku to Ningyo,1
Jujutsu Kaisen 0 Movie,25
Shingeki no Kyojin: The Final Season,4
Shinryaku!! Ika Musume,1
Wu Ying Sanqian Dao,2
Bokura no,3
Yokohama Kaidashi Kikou: Quiet Country Cafe,1
Boku no Hero Academia the Movie 2: Heroes:Rising,2
Dr. Stone: Stone Wars,1
Tsuki to Laika to Nosferatu,1
Tate no Yuusha no Nariagari Season 2,23
JoJo no Kimyou na Bouken Part 6: Stone Ocean,5
Tiger & Bunny 2,6
Kono Subarashii Sekai ni Shukufuku wo! 2,1
Watashi ni Tenshi ga Maiorita!,1
Peter Grill to Kenja no Jikan,1
Kimi no Na wa.,15
Kizumonogatari I: Tekketsu-hen,2
Detective Conan Movie 25: Halloween no Hanayome,4
Hana to Alice: Satsujin Jiken,1
Ai no Kusabi (2012),1
Koroshi Ai,2
Gunjou,1
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,2
Kurayami Santa,1
One Outs,1
Tonari no Totoro,4
Mob Psycho 100,6
Condom Battler Gorou,1
Koi to Uso,1
Curry Meshi in Miracle,1
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2
Thermae Romae,1
Bao Mu,1
Golden Time,8
Mob Psycho 100 II,2
Haibane Renmei,4
Shokugeki no Souma,5
Little Witch Academia (TV),1
Mitsuami no Kamisama,1
Hoozuki no Reitetsu,1
Tensei shitara Slime Datta Ken,4
Soul Eater,2
Yawara!,1
Ookami to Koushinryou,1
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,1
Kiseichuu no Ichiya,1
Space☆Dandy,4
Iblard Jikan,1
Tasogare Otome x Amnesia,2
Ganbare Douki-chan,1
"Komi-san wa, Comyushou desu.",12
Kekkai Sensen,2
Baki,4
New Initial D Movie: Legend 3 - Mugen,1
C: The Money of Soul and Possibility Control,2
Lovely★Complex,5
Kimagure Orange☆Road: Ano Hi ni Kaeritai,1
Date A Bullet: Nightmare or Queen,1
Mars Red,1
Fruits Basket: The Final,6
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,2
Dirty Pair: Bouryaku no 005-bin,1
Seirei no Moribito,1
"Hachi-nan tte, Sore wa Nai deshou!",2
School Days: Valentine Days,1
Bishoujo Senshi Sailor Moon Crystal,1
Love Live! School Idol Project,5
Terra Formars,1
Hibike! Euphonium: Kakedasu Monaka,1
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,3
Ojiisan no Lamp,1
High☆Speed! Movie: Free! Starting Days,1
Ano Natsu de Matteru,1
Vividred Operation,1
Mikan Enikki,1
Hanma Baki: Son of Ogre,1
Subarashiki Kono Sekai The Animation,1
Fate/kaleid liner Prisma☆Illya,2
Cardfight!! Vanguard: will+Dress,1
Futari wa Precure: Splash☆Star,3
Rainbow: Nisha Rokubou no Shichinin,3
Ginga e Kickoff!!,1
Stand By Me Doraemon,1
Hataraku Maou-sama!,5
Tonikaku Kawaii,7
Fumetsu no Anata e,7
Persona 4 the Animation,1
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,2
Maria-sama ga Miteru: Haru,1
RPG Fudousan,7
Shingeki no Kyojin: The Final Season Part 2,63
Vampire in the Garden,20
Ballroom e Youkoso,1
Kidou Senshi Gundam: Gyakushuu no Char,2
Shingeki no Kyojin: The Final Season Specials,1
Heart Cocktail Again,1
Cross Ange: Tenshi to Ryuu no Rondo,2
Kindaichi Shounen no Jikenbo,2
Utawarerumono: Itsuwari no Kamen,1
Ninja Batman,1
Hello World,2
Given,2
Chuukan Kanriroku Tonegawa,1
Shoujo☆Kageki Revue Starlight,5
Sonic X,2
Boruto: Naruto Next Generations,4
Radiant,1
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,1
Kidou Senshi Gundam Unicorn,3
Arte,1
Koi wa Ameagari no You ni,5
Vanitas no Karte,5
Omoigumo,1
Ikkitousen: Shuugaku Toushi Keppuuroku,1
Huyao Xiao Hongniang,1
Girls & Panzer,2
Jinrui wa Suitai Shimashita,3
Versailles no Bara,1
Tong Ling Fei,2
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",4
Yu☆Gi☆Oh! Zexal,1
Durarara!!x2 Ketsu,1
Gintama°: Aizome Kaori-hen,1
Kandagawa Jet Girls,1
Tengen Toppa Gurren Lagann,8
Evangelion: 3.0+1.0 Thrice Upon a Time,4
School Days: Magical Heart Kokoro-chan,1
Konohana Kitan,1
Hyouka: Motsubeki Mono wa,1
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,1
Torokase Orgasm The Animation,1
He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai,1
Ichigo Mashimaro OVA,1
Paradise Kiss,1
Summer Wars,1
Mad★Bull 34,1
Kakkou no Iinazuke,12
Overlord,3
Hokuto no Ken,2
Yes ka No ka Hanbun ka,1
Dr. Stone: Ryuusui,11
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,3
Fudanshi Koukou Seikatsu,1
Owarimonogatari 2nd Season,1
BanG Dream! Garupa☆Pico,1
