title,count
Seihou Bukyou Outlaw Star,2
"Komi-san wa, Comyushou desu. 2nd Season",3
Ai no Gakkou Cuore Monogatari,1
Kaginado,7
Yuuki Yuuna wa Yuusha de Aru,3
One Piece Movie 01,2
Momokuri,1
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,1
A Kite,2
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,5
Arknights: Reimei Zensou,10
Nichijou,6
The Sky Crawlers,2
Bakuman.,6
Fullmetal Alchemist,4
Suzumiya Haruhi no Yuuutsu (2009),1
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,11
Shikizakura,1
Kingsglaive: Final Fantasy XV,2
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,2
Mahouka Koukou no Rettousei,2
Hataraku Saibou Black,3
Imouto sae Ireba Ii.,2
Strike Witches,2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10
Gokiburi Taisou,1
Afro Samurai,3
Girls Bravo: First Season,1
Ristorante Paradiso,1
Steins;Gate 0,5
Uta∽Kata,1
Kidou Senshi Gundam ZZ,2
Netoge no Yome wa Onnanoko ja Nai to Omotta?,1
Dakaretai Otoko 1-i ni Odosarete Imasu.,3
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,20
Onaho Kyoushitsu: Joshi Zenin Ninshin Keikaku - The Animation,2
Samurai Champloo,9
Amagami SS,1
Baku Ane: Otouto Shibocchau zo! The Animation,1
School Rumble,1
Aria the Origination,1
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,1
Jujutsu Kaisen 0 Movie,22
Dr. Stone: Stone Wars,3
Akuyaku Reijou nano de Last Boss wo Kattemimashita,15
Kantai Collection: KanColle,1
Shingeki no Kyojin: The Final Season,18
Umayon,1
Tsuki to Laika to Nosferatu,14
Bokura no,1
Boku no Hero Academia the Movie 2: Heroes:Rising,1
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,1
Holo no Graffiti,1
Lupin III: Bye Bye Liberty - Kiki Ippatsu!,1
School Rumble Ni Gakki,1
Rance 01: Hikari wo Motomete The Animation,1
JoJo no Kimyou na Bouken Part 6: Stone Ocean,27
Muybridge no Ito,2
Watashi to Watashi: Futari no Lotte,1
Tate no Yuusha no Nariagari Season 2,4
Peter Grill to Kenja no Jikan,3
Mob Psycho Mini,1
Tiger & Bunny 2,1
IDOLiSH7 Second Beat!,1
Obsolete,1
Kono Subarashii Sekai ni Shukufuku wo! 2,2
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,1
Rance 01: Hikari wo Motomete The Animation - Leazas no Yami,1
Ie Naki Ko Remy Specials,1
Kimi no Na wa.,18
Jing: Shuang Cheng 2nd Season,1
Detective Conan Movie 25: Halloween no Hanayome,3
C Danchi,5
Mai-HiME,2
Watashi no Ashinaga Ojisan,1
