Title,count
Kengan Ashura Part 2,1
Seihou Bukyou Outlaw Star,3
"Komi-san wa, Comyushou desu. 2nd Season",37
Yuuki Yuuna wa Yuusha de Aru,5
One Piece Movie 01,3
Ai no Gakkou Cuore Monogatari,1
Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,1
Kaginado,9
Shinryaku! Ika Musume Specials,1
Air Movie,2
Vatican Kiseki Chousakan,2
K,1
Momokuri,1
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,1
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,12
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8
A Kite,2
Arknights: Reimei Zensou,10
Nichijou,13
The Sky Crawlers,5
Bakuman.,10
Fullmetal Alchemist,8
Suzumiya Haruhi no Yuuutsu (2009),4
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,17
Love Kome: We Love Rice,1
Pokemon Diamond & Pearl,2
Tonari no Yamada-kun,1
Bannou Bunka Neko-Musume,1
Suna no Bara: Yuki no Mokushiroku,1
Little Monica Monogatari,1
Silent Möbius,1
Shikizakura,2
Kingsglaive: Final Fantasy XV,2
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,2
Kubo-san wa Mob wo Yurusanai,4
Hataraku Saibou Black,7
Mahouka Koukou no Rettousei,6
Parasite Dolls,2
Imouto sae Ireba Ii.,3
Strike Witches,3
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,26
Gokiburi Taisou,1
Afro Samurai,8
Girls Bravo: First Season,2
Ristorante Paradiso,2
Steins;Gate 0,12
Uta∽Kata,1
Kidou Senshi Gundam ZZ,7
Dakaretai Otoko 1-i ni Odosarete Imasu.,5
Netoge no Yome wa Onnanoko ja Nai to Omotta?,2
Strawberry Panic,4
Nanatsu no Taizai OVA,1
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,1
K-On!!: Keikaku!,1
Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,1
Pokemon: Mewtwo! Ware wa Koko ni Ari,1
Amagami SS,4
Samurai Champloo,24
Byston Well Monogatari: Garzey no Tsubasa,1
School Rumble,2
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,21
Minami-ke Okaeri,1
Onaho Kyoushitsu: Joshi Zenin Ninshin Keikaku - The Animation,2
Aria the Origination,4
Wotaku ni Koi wa Muzukashii OVA,3
Shadowverse,1
Battle Spirits: Sword Eyes,1
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,1
Hanasaku Iroha,1
Abenobashi Mahou☆Shoutengai,1
Baku Ane: Otouto Shibocchau zo! The Animation,1
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,1
Jujutsu Kaisen 0 Movie,89
Akuyaku Reijou nano de Last Boss wo Kattemimashita,21
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,1
Dr. Stone: Stone Wars,7
Kantai Collection: KanColle,1
Shingeki no Kyojin: The Final Season,31
Umayon,1
Akai Rousoku to Ningyo,1
Shinryaku!! Ika Musume,1
Wu Ying Sanqian Dao,2
Bokura no,5
Yokohama Kaidashi Kikou: Quiet Country Cafe,1
Boku no Hero Academia the Movie 2: Heroes:Rising,3
Tsuki to Laika to Nosferatu,20
Rance 01: Hikari wo Motomete The Animation,2
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,1
Holo no Graffiti,1
Lupin III: Bye Bye Liberty - Kiki Ippatsu!,1
School Rumble Ni Gakki,1
Tate no Yuusha no Nariagari Season 2,28
JoJo no Kimyou na Bouken Part 6: Stone Ocean,39
Muybridge no Ito,2
Watashi to Watashi: Futari no Lotte,1
Peter Grill to Kenja no Jikan,4
Mob Psycho Mini,1
Tiger & Bunny 2,7
IDOLiSH7 Second Beat!,1
Kono Subarashii Sekai ni Shukufuku wo! 2,5
Watashi ni Tenshi ga Maiorita!,1
Hyperventilation,1
Succubus Stayed Life The Animation,1
Midara na Ao-chan wa Benkyou ga Dekinai,1
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,2
Obsolete,1
Rance 01: Hikari wo Motomete The Animation - Leazas no Yami,1
Ie Naki Ko Remy Specials,1
Koroshi Ai,10
Kizumonogatari I: Tekketsu-hen,5
Kimi no Na wa.,47
Teekyuu 4,1
Jing: Shuang Cheng 2nd Season,2
Detective Conan Movie 25: Halloween no Hanayome,7
C Danchi,5
Mai-HiME,2
Hana to Alice: Satsujin Jiken,3
Ai no Kusabi (2012),1
Gunjou,1
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,4
Kurayami Santa,1
One Outs,3
Dance in the Vampire Bund,1
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,1
Watashi no Ashinaga Ojisan,1
Nekojiru Gekijou Jirujiru Original,1
Akuma no Memumemu-chan,1
Mob Psycho 100,26
Do It Yourself!!,35
The Legend of Heroes: Sen no Kiseki - Northern War,1
Shine Post,7
Tonari no Totoro,11
5-Okunen Button,1
Kyuuketsuki Sugu Shinu,22
Panda no Daibouken,1
Condom Battler Gorou,2
Koi to Uso,2
Curry Meshi in Miracle,2
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,5
Thermae Romae,1
Kogepan,1
Otome Dori,1
Waga Seishun no Arcadia,1
Mob Psycho 100 II,13
Tensei shitara Slime Datta Ken,19
AD Police,3
Ane wa Yanmama Junyuu-chuu,5
Hyouken no Majutsushi ga Sekai wo Suberu,1
Little Witch Academia (TV),8
Imawa no Kuni no Alice,5
Soul Eater,9
Golden Time,25
Ookami to Koushinryou,6
Shokugeki no Souma,20
Haibane Renmei,15
Bao Mu,1
Mitsuami no Kamisama,1
Hoozuki no Reitetsu,1
Yawara!,1
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,3
Working!!,3
Build Divide: Code Black,2
Tropical-Rouge! Precure,3
Berserk,2
InuYasha: Kanketsu-hen,1
To Be Hero,1
Wei Wo Du Shen,1
Tasogare Otome x Amnesia,7
Zhu Xian,1
Gochuumon wa Usagi desu ka?,2
Free! Dive to the Future,2
Queen's Blade OVA Specials,1
Kiseichuu no Ichiya,1
Space☆Dandy,8
Iblard Jikan,1
Ganbare Douki-chan,10
Boogiepop wa Warawanai,3
Chihayafuru 2,2
Code Geass: Hangyaku no Lelouch R2 Omake Flash,1
Tegamibachi,1
Kidou Senshi Gundam Thunderbolt,3
Mirai Nikki: Redial,1
Cat's Eye,1
"Sentouin, Hakenshimasu!",3
"Komi-san wa, Comyushou desu.",123
Baki,9
Bokusatsu Tenshi Dokuro-chan,1
Lovely★Complex,15
Zen: Grogu to Makkuro Kurosuke,1
Kekkai Sensen,9
Mahoutsukai Sally,2
New Initial D Movie: Legend 3 - Mugen,1
C: The Money of Soul and Possibility Control,4
Kimagure Orange☆Road: Ano Hi ni Kaeritai,1
Onboro Film,1
Tenshi na Konamaiki,1
Tamayura: More Aggressive,1
Seirei no Moribito,6
Lesson XX,1
"Hachi-nan tte, Sore wa Nai deshou!",5
Fruits Basket: The Final,28
Hanma Baki: Son of Ogre,12
Attack No.1,1
Hibike! Euphonium: Kakedasu Monaka,2
Date A Bullet: Nightmare or Queen,1
Mars Red,3
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,2
Dirty Pair: Bouryaku no 005-bin,1
School Days: Valentine Days,1
Bishoujo Senshi Sailor Moon Crystal,2
Love Live! School Idol Project,6
Terra Formars,1
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,5
Ojiisan no Lamp,1
High☆Speed! Movie: Free! Starting Days,2
Ano Natsu de Matteru,3
Vividred Operation,1
Mikan Enikki,1
Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,1
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",1
Boku no Chikyuu wo Mamotte,2
Persona 3 the Movie 4: Winter of Rebirth,2
Yami Shibai 9,1
Tomo-chan wa Onnanoko!,6
Ikebukuro West Gate Park,6
Human Bug Daigaku,7
Call Me Tonight,2
Rainbow: Nisha Rokubou no Shichinin,7
Subarashiki Kono Sekai The Animation,1
Fate/kaleid liner Prisma☆Illya,2
Cardfight!! Vanguard: will+Dress,1
Futari wa Precure: Splash☆Star,3
Ginga e Kickoff!!,1
Stand By Me Doraemon,2
Futari wa Precure: Max Heart,1
El Hazard: The Magnificent World,1
Shingeki no Kyojin OVA,1
Tian Shu Qi Tan,1
Boku no Hero Academia the Movie 1: Futari no Hero,1
Wu Shan Wu Xing (2020),4
Dark Cat,1
Aoi Hana,4
Motto! Ojamajo Doremi,1
Tonikaku Kawaii,24
Fumetsu no Anata e,40
Shen Yin Wangzuo,2
Hataraku Maou-sama!,12
Magi: The Labyrinth of Magic,3
Persona 4 the Animation,3
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,6
Maria-sama ga Miteru: Haru,1
Murder Princess,1
Bai Gui Youeryuan,1
Natsume Yuujinchou Go,1
Natsume Yuujinchou Go Specials,1
Snickers x Shingeki no Kyojin,1
Triage X,2
Ballroom e Youkoso,9
Shingeki no Kyojin: The Final Season Part 2,112
Vampire in the Garden,24
Soukou Musume Senki,1
Digimon Adventure,4
Kidou Senshi Gundam: Gyakushuu no Char,6
RPG Fudousan,7
Shingeki no Kyojin: The Final Season Specials,1
Heart Cocktail Again,1
Kanokon,1
Mahou no Tenshi Creamy Mami: Eien no Once More,1
Kimi ga Nozomu Eien: Next Season,1
Escaflowne,1
Kami no Tou,11
Given,18
Gokinjo Monogatari,1
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,1
Utawarerumono: Itsuwari no Kamen,2
Cross Ange: Tenshi to Ryuu no Rondo,5
Kindaichi Shounen no Jikenbo,2
Ninja Batman,2
Hello World,8
Chuukan Kanriroku Tonegawa,1
Early Reins,1
Barom One,1
Mahou Shoujo Lyrical Nanoha StrikerS,1
Higurashi no Naku Koro ni Kaku: Outbreak,3
Shakugan no Shana III (Final),2
Aura: Maryuuin Kouga Saigo no Tatakai,1
Hot Minute: Aggretsuko,1
Boruto: Naruto Next Generations,25
Radiant,3
Kidou Senshi Gundam Unicorn,6
Love Live! Superstar!! 2nd Season,6
Muv-Luv Alternative 2nd Season,4
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,2
Shoujo☆Kageki Revue Starlight,7
ef: A Tale of Memories.,1
Arte,3
Sonic X,4
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,2
Tokkou,1
Rozen Maiden: Ouvertüre,1
Akatsuki no Yona OVA,1
Iyashite Agerun Saiyuuki,1
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,1
Lupin III vs. Cat's Eye,1
Tong Ling Fei,6
Koi wa Ameagari no You ni,13
Vanitas no Karte,52
Eromanga-sensei,6
Umezu Kazuo no Noroi,2
Girls & Panzer,8
Tunshi Xingkong 2nd Season,2
Versailles no Bara,2
Omoigumo,1
Ikkitousen: Shuugaku Toushi Keppuuroku,1
Huyao Xiao Hongniang,1
Jinrui wa Suitai Shimashita,5
Honobono Log,2
Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,1
Yatogame-chan Kansatsu Nikki,1
Maesetsu!,1
Kuroshitsuji II,1
Fractale,1
Dimension W: Short Track/Robot wa Sentou no Yume wo Miruka,1
Mitsubachi Maya no Bouken,1
.hack//Sign,2
Renwu Dashi,1
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",6
Shin Mazinger Shougeki! Z-hen,1
Ore no Imouto ga Konnani Kawaii Wake ga Nai,1
Koroshiya 1 The Animation: Episode 0,1
Yu☆Gi☆Oh! Zexal,2
Durarara!!x2 Ketsu,1
Gintama°: Aizome Kaori-hen,1
Kandagawa Jet Girls,2
The Gakuen Choujo-tai,2
Karada de Kaiketsu Hyakkiya Tantei Jimusho,1
Tengen Toppa Gurren Lagann,31
Xue Yu Xin,1
Sayonara Watashi no Cramer,1
Evangelion: 3.0+1.0 Thrice Upon a Time,20
Konohana Kitan,3
Paradise Kiss,5
School Days: Magical Heart Kokoro-chan,1
Hyouka: Motsubeki Mono wa,1
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,2
Torokase Orgasm The Animation,1
He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai,1
Ichigo Mashimaro OVA,1
Ijirare: Fukushuu Saimin,2
Soukou Kihei Votoms,2
Kurumiwari Ningyou (2014),1
Pokemon Evolutions,4
Machine-Doll wa Kizutsukanai,1
Omamori Himari,1
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",2
Gintama.: Porori-hen,3
Mad★Bull 34,4
Summer Wars,5
number24,1
True Tears,1
Kaihouku: Chikan Harem,1
Overlord,19
Kakkou no Iinazuke,18
Bleach: The Sealed Sword Frenzy,1
Kidou Senshi Gundam NT,1
"Sora no Iro, Mizu no Iro",1
Hokuto no Ken,5
Yes ka No ka Hanbun ka,2
Love Stage!!,2
Mayo Chiki!,3
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,1
InuYasha,5
Cosplay Complex,1
Chainsaw Man,164
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,14
Dr. Stone: Ryuusui,14
Tenshi Kinryouku,1
Ling Qi 2,3
Yamada-kun to 7-nin no Majo,7
Toutotsu ni Egypt Shin,2
Shikiyoku Infinite,1
Haikyuu!! To the Top Part 2,3
Fudanshi Koukou Seikatsu,1
Owarimonogatari 2nd Season,5
